Vendor|CardName|PointsValueCpp|slug-id|ImageURL|MinCreditScore|MaxCreditScore|ApplicationLink
Capital One|Capital One Quicksilver Secured Cash Rewards Credit Card|N/A|capital-one-quicksilver-secured-cash-rewards-credit-card|/static/images/credit_cards/capital-one-quicksilver-secured-cash-rewards-credit-card.WEBP|300|579|https://www.capitalone.com/credit-cards/apply/quicksilver-secured-rewards/
Capital One|Capital One Spark Cash Plus|N/A|capital-one-spark-cash-plus|/static/images/credit_cards/capital-one-spark-cash-plus.WEBP|670|850|https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/
Capital One|Capital One Spark Miles for Business|1.0|capital-one-spark-miles-for-business|/static/images/credit_cards/capital-one-spark-miles-for-business.WEBP|670|850|https://www.capitalone.com/small-business/credit-cards/spark-miles/
Chase|Chase Sapphire Preferred Card|1.25|chase-sapphire-preferred-card|/static/images/credit_cards/chase-sapphire-preferred-card.PNG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HSGD&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Chase Sapphire Reserve|1.5|chase-sapphire-reserve|/static/images/credit_cards/chase-sapphire-reserve.jpg|740|850|https://secure.chase.com/web/oao/application/card?sourceCode=HWHN&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Chase Freedom Unlimited|N/A|chase-freedom-unlimited|/static/images/credit_cards/chase-freedom-unlimited.JPG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HZCH&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Chase Freedom Flex|N/A|chase-freedom-flex|/static/images/credit_cards/chase-freedom-flex.avif|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HPKP&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Prime Visa|N/A|prime-visa|/static/images/credit_cards/prime-visa.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/amazon-rewards/prime-visa
Chase|United Explorer Card|1.2|united-explorer-card|/static/images/credit_cards/united-explorer-card.PNG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HRYN&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|United Quest Card|1.2|united-quest-card|/static/images/credit_cards/united-quest-card.AVIF|670|850|https://creditcards.chase.com/rewards-credit-cards/united/quest
Chase|United Club Card|1.2|united-club-card|/static/images/credit_cards/united-club-card.AVIF|670|850|https://creditcards.chase.com/rewards-credit-cards/united/club
Chase|Marriott Bonvoy Boundless Credit Card|0.8|marriott-bonvoy-boundless-credit-card|/static/images/credit_cards/marriott-bonvoy-boundless-credit-card.PNG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HTJT&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Southwest Rapid Rewards Priority Credit Card|1.3|southwest-rapid-rewards-priority-credit-card|/static/images/credit_cards/southwest-rapid-rewards-priority-credit-card.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/southwest/priority
Chase|IHG One Rewards Premier Credit Card|0.6|ihg-one-rewards-premier-credit-card|/static/images/credit_cards/ihg-one-rewards-premier-credit-card.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/ihg/premier
Chase|IHG One Rewards Traveler Credit Card|0.6|ihg-one-rewards-traveler-credit-card|/static/images/credit_cards/ihg-one-rewards-traveler-credit-card.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/ihg/traveler
Chase|The World of Hyatt Credit Card|1.8|the-world-of-hyatt-credit-card|/static/images/credit_cards/the-world-of-hyatt-credit-card.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/world-of-hyatt
Chase|Aeroplan Credit Card|1.3|aeroplan-credit-card|/static/images/credit_cards/aeroplan-credit-card.PNG|670|850|https://creditcards.chase.com/a1/Aeroplan/75kplus25knaep
Chase|British Airways Visa Signature Card|1.3|british-airways-visa-signature-card|/static/images/credit_cards/british-airways-visa-signature-card.PNG|670|850|https://creditcards.chase.com/rewards-credit-cards/british-airways-visa
Chase|Chase Slate Edge|N/A|chase-slate-edge|/static/images/credit_cards/chase-slate-edge.JPG|670|850|https://creditcards.chase.com/balance-transfer-credit-cards/slate-edge
Chase|Ink Business Preferred Credit Card|1.25|ink-business-preferred-credit-card|/static/images/credit_cards/ink-business-preferred-credit-card.PNG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HXTD&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Chase|Ink Business Premier Credit Card|N/A|ink-business-premier-credit-card|/static/images/credit_cards/ink-business-premier-credit-card.WEBP|670|850|https://creditcards.chase.com/ink-business-credit-cards/premier
Chase|Ink Business Cash Credit Card|N/A|ink-business-cash-credit-card|/static/images/credit_cards/ink-business-cash-credit-card.PNG|670|850|https://creditcards.chase.com/ink-business-credit-cards/cash
Chase|Ink Business Unlimited Credit Card|N/A|ink-business-unlimited-credit-card|/static/images/credit_cards/ink-business-unlimited-credit-card.PNG|670|850|https://secure.chase.com/web/oao/application/card?sourceCode=HXW6&action=guest#/origination/cardDetails/index/index;cellCode=61DS;combo=Y
Citi|Citi Double Cash Card|N/A|citi-double-cash-card|/static/images/credit_cards/citi-double-cash-card.png|670|850|https://www.citi.com/credit-cards/citi-double-cash-credit-card
Citi|Citi Strata Premier Card|1.0|citi-strata-premier-card|/static/images/credit_cards/citi-strata-premier-card.webp|670|850|https://www.citi.com/credit-cards/citi-strata-premier-credit-card
Citi|Citi Custom Cash Card|N/A|citi-custom-cash-card|/static/images/credit_cards/citi-custom-cash-card.png|670|850|https://www.citi.com/credit-cards/citi-custom-cash-credit-card
Citi|Citi Simplicity Card|N/A|citi-simplicity-card|/static/images/credit_cards/citi-simplicity-card.JPG|670|850|https://www.citi.com/credit-cards/citi-simplicity-credit-card
Citi|Citi Secured Mastercard|N/A|citi-secured-mastercard|/static/images/credit_cards/citi-secured-mastercard.png|300|579|https://www.citi.com/credit-cards/citi-secured-credit-card
Citi|Costco Anywhere Visa Card by Citi|costco-anywhere-visa-card-by-citi.jpg|costco-anywhere-visa-card-by-citi|670|850|https://www.citi.com/credit-cards/citi-costco-anywhere-visa-credit-card
Discover|Discover it Cash Back|N/A|discover-it-cash-back|/static/images/credit_cards/discover-it-cash-back.PNG|670|850|https://www.discovercard.com/application/website/apply?srcCde=GJVP&ICMPGN=ALL_CC_CB_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
Discover|Discover it Miles|1.0|discover-it-miles|/static/images/credit_cards/discover-it-miles.PNG|670|850|https://www.discovercard.com/application/website/apply?srcCde=GJX4&ICMPGN=ALL_CC_TRAVEL_APPLY_NOW_BTN&adobe_mc=TS%3D1766584021%7CMCMID%3D40131467919366069464125905580679585796%7CMCORGID%3D0D6C4673527839230A490D45%2540AdobeOrg
